115;999999;01/6/2014;0;04/09/2014;GAM23E;
116;999999;01/6/2014;2;04/09/2014;GAM23E; 
117;999999;01/6/2014;0;04/09/2014;GAM23E; 
8;999999;01/6/2014;0;04/09/2014;GAM23E; 
9;999999;01/6/2014;0;04/09/2014;GAM23E; 
10;999999;01/6/2014;0;04/09/2014;GAM23E; 
11;999999;01/6/2014;0;04/09/2014;GAM23E; 
12;999999;01/6/2014;0;04/09/2014;GAM23E; 
13;999999;01/6/2014;303;04/09/2014;GAM23E; 
14;999999;01/6/2014;1;04/09/2014;GAM23E; 
15;999999;01/6/2014;0;04/09/2014;GAM23E; 
16;999999;01/6/2014;0;04/09/2014;GAM23E; 
17;999999;01/6/2014;0;04/09/2014;GAM23E; 
19;999999;01/6/2014;304;04/09/2014;GAM23E; 
23;999999;01/6/2014;;04/09/2014;GAM23E; 
24;999999;01/6/2014;;04/09/2014;GAM23E;
